Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,"Harm Score
(3-15)",Divestment (Y/N),Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other 
Metro Golf Cars,Y,TX,60,1974,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$32.0,2018,N,n/a,n/a,http://www.metrogolfcars.com/,See MobileXUSA,n/a,n/a,PrivCo (www.privco.com),n/a
Metropolitan Food Service,Y,NY,,1993,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,$15.5,2018,N,n/a,n/a,http://www.metropolitanfoodservice.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a
Metropolitan Interpreters & Translators,Y,NY,,1987,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,Y,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.metlang.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,n/a,n/a
Metropolitan Life Insurance Company (MetLife),Y,NY,"49,000",1999,n/a,Michel Khalaf,n/a,n/a,MET,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,10,n/a,"$69,620.0",2019,N,n/a,n/a,https://www.metlife.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf ,n/a,n/a,FactSet,n/a
MFM Sensors,Y,WA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Transportation,Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,http://correctionsmarketplace.com/,n/a,n/a,n/a,http://correctionsmarketplace.com/Listing/Company/294722
MG Industries,Y,ME,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.mgi-military.com/,See website,n/a,n/a,n/a,n/a
MGM Associates,Y,AZ,,1965,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,http://www.trussbilt.com/portfolio-sheet-western.php,n/a,n/a,n/a,https://ecorp.azcc.gov/PublicBusinessSearch/PublicBusinessInfo?entityNumber=00666447
MGT Consulting,Y,CA,,1974,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,Y,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.mgtconsulting.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,n/a,n/a
MHM Services,Y,VA,"7,000",1981,2018,n/a,n/a,Centene,CNC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Mental Health Services,Healthcare,Medical Healthcare,n/a,n/a,13,Y,$448.0,2016,Y,"$110,000.0",Acquired by Centene in 2018,http://www.mhm-services.com/,See website,n/a,n/a,PrivCo (www.privco.com),https://www.prnewswire.com/news-releases/centene-to-acquire-mhm-services-to-expand-national-footprint-in-correctional-healthcare-sector-300603870.html
MHN,Y,CA,950,1974,2016,n/a,n/a,Centene/Health Net,CNC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Substance Abuse Treatment,n/a,n/a,n/a,n/a,12,Y,,,N,n/a,Acquired by Centene in 2016 as part of Health Net for $6 B,https://www.mhn.com/,https://www.mhn.com/content/ohs--driving-under-the-influence-dui-programs,n/a,n/a,n/a,https://www.bizjournals.com/stlouis/morning_call/2016/03/centene-closes-6-billion-health-net-acquisition.html
"Miami Corporation, The",Y,OH,80,1923,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$12.0,2018,N,n/a,n/a,http://www.miamicorp.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003913-T.pdf,n/a,n/a,PrivCo (www.privco.com),n/a
Mi-Case,Y,AZ,,1992,n/a,n/a,n/a,Business & Decision,BND-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,Corrections Data Systems,n/a,n/a,n/a,n/a,9,n/a,,,Y,n/a,Registered trademark of Business & Decision North America ,https://www.mi-case.com/,See website,n/a,n/a,n/a,n/a
Michael Brown Sales Corp (dba MBSC),Y,CA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,n/a,n/a,n/a,n/a
Michigan Turkey Producers,Y,MI,770,1998,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,$220.0,2018,N,n/a,n/a,http://www.miturkey.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a
Micro Distributing,Y,TX,,1999,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Other,Other,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,Drug testing,https://www.micro-distributing.com/,http://www.corrections.com/vendor/result_by_category/106?keyword=Drug%2F+Alcohol+Screening&page=5,n/a,n/a,n/a,n/a
Micro Systemation Ab (dba MSAB),Y,Sweden,134,1984,n/a,Joel Bollo,n/a,n/a,MSAB.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,"Arrest, Court, & Probation Data Systems",Equipment,Security Technology,n/a,n/a,13,Y,$30.7,2019,N,n/a,Financials converted from SEK,https://www.msab.com/,http://www.ijis.org/?page=Member_List,n/a,n/a,FactSet,n/a
MicroFocus,Y,MD,"14,000",1976,n/a,Stephen Murdoch,n/a,n/a,MFGP,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Data & Information Systems,Immigration Data Systems,Y,n/a,8,n/a,"$3,348.4",2019,N,n/a,n/a,https://www.microfocus.com/en-us/home,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a
Micrologic Systems,Y,TX,,1987,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.mlsinet.com/,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,n/a,n/a,n/a,n/a
MicroMain Corporation,Y,TX,,1991,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.micromain.com,https://aja.multiview.com/,n/a,n/a,n/a,n/a
MicroPact,Y,VA,600,1997,2014,Kris Collo,Enlightenment Capital,n/a,n/a,Tier 2 - Investment Firm-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Data & Information Systems,Immigration Data Systems,Y,n/a,10,n/a,$100.0,2015,N,n/a,Acquired by Enlightenment Capital in 2014,https://www.micropact.com/,https://www.micropact.com/solutions/in/justice-and-law-enforcement-portfolio/,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,PrivCo (www.privco.com),https://www.pehub.com/2014/04/enlightenment-capital-backs-micropact/
Microsoft,Y,WA,"124,000",1975,n/a,Satya Nadella,n/a,n/a,MSFT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Data & Information Systems,Immigration Data Systems,Y,n/a,11,Y,"$125,843.0",2019,N,n/a,n/a,https://www.microsoft.com/en-us/defaultb.aspx,https://facts.fldfs.com/Search/PurchaseOrderDetails.aspx?AgencyId=700000&PONo=A8A0CB&Tab=1,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,http://www.ijis.org/?page=sustaining_members
Microtronic US,Y,NC,,1984,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Financial Services,Money Transfers,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.microtronicus.com/,See website,n/a,n/a,n/a,n/a
Mid America Health,Y,IN,,1986,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://mahweb.com,http://mahweb.com/dental-services/corrections-division/,n/a,n/a,n/a,n/a
Mid Ohio Radiology,Y,OH,,1936,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.midohioradiology.com/,OH DRC Spending,n/a,n/a,PrivCo (www.privco.com),n/a
MidAmerican Energy Services,Y,IA,,1999,2014,n/a,n/a,Berkshire Hathaway,BRK.A,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Utility/Energy,n/a,n/a,n/a,n/a,6,n/a,,,N,n/a,Acquired by Berkshire Hathaway in 2014,https://www.midamericanenergyservices.com/,OH DRC Spending,n/a,n/a,n/a,https://www.berkshirehathawayenergyco.com/news/midamerican-energy-holdings-company-is-now-berkshire-hathaway-energy
Mid-Atlantic Telerad,Y,VA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,http://correctionsmarketplace.com/,n/a,n/a,n/a,http://correctionsmarketplace.com/Listing/Company/506024
MIDCON,Y,SC,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),n/a,n/a,n/a,Y,"n/a,",n/a,n/a,n/a,N,n/a,n/a,https://www.midconcables.com/,https://435bd23a-f4be-41cf-aa06-68751a4fd6ce.usrfiles.com/ugd/435bd2_32bc2006882b43af919b81b575a9de79.pdf,n/a,https://www.nationalcia.org/statistical-reports,n/a,n/a
Middle Street Publishing,Y,VA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,"Education Services, Materials, & Technology",n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,n/a,See Prison Education,n/a,n/a,n/a,n/a
Mid-States Services,Y,MO,,1970,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.mid-states.net/,http://www.tjjd.texas.gov/procurement/home/index?path=/Austin%20Office%20Puchase%20Orders,n/a,n/a,n/a,n/a
Midtown Reporting Service,Y,NY,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Other,Other,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,Hearing transcription,http://court-and-convention-reporters.cmac.ws/midtown-reporting-service/2789/,NYS DOCCS Spending,n/a,n/a,n/a,n/a
Midtown Stationers,Y,CA,,2013,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://supplymyoffice.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
Midway Auto Supply,Y,TX,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",n/a,,,N,n/a,n/a,n/a,TDCJ Spending,n/a,See corrections source,n/a,https://www.yelp.com/biz/midway-auto-supply-dallas
Midwest Correctional Medical Group,Y,n/a,,n/a,2018,n/a,HIG Capital,Wellpath,n/a,Tier 2 - Investment Firm-Owned,Healthcare,Medical Healthcare,n/a,n/a,n/a,n/a,13,Y,,,Y,n/a,Acquired by HIG in 2013 as part of CFMG; Merged with Correct Care Colutions to create Wellpath in 2018 ,n/a,http://siouxcityjournal.com/news/local/briefs/inmate-healthcare-provider-submits-bid-for-woodbury-county-jail/article_4575880b-f3f0-599a-9b44-155dfcddc774.html,n/a,n/a,n/a,https://www.linkedin.com/company/correctional-medical-group-companies-inc-
Midwest Electrical Construction,Y,KS,,2006,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Utility/Energy,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,FBOP Spending,n/a,n/a,n/a,https://www.linkedin.com/company/midwest-electrical-construction-inc
Midwest Monitoring & Surveillance,Y,MN,,2011,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.midwestmonitoring.com/,See website,n/a,n/a,n/a,n/a
Midwest Portland Detention Equipment and Hardware,Y,IL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.midwestportland.com/,See website,n/a,n/a,n/a,n/a
Mike's Better Shoes,Y,NJ,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Care Packages,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.mikesbettershoes.com/,See website,n/a,n/a,n/a,https://www.cdcr.ca.gov/Visitors/Approved_Vendors.html
Milamar Coatings (dba Polymax),Y,OK,65,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$25.0,2018,N,n/a,n/a,http://www.milamar.com/,http://www.milamar.com/wp-content/uploads/2014/09/2014-Detention-Centers.pdf,n/a,n/a,PrivCo (www.privco.com),n/a
Milhelm Attea & Brothers,Y,NY,,1930,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,NYS DOCCS Spending,n/a,n/a,n/a,n/a
Mill Point Capital,Y,NY,,2017,n/a,Michael Duran,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,9,n/a,,,N,n/a,n/a,http://www.millpoint.com/,See DLT Solutions,n/a,n/a,n/a,n/a
Mill Road,Y,CT,15,2004,n/a,Thomas E. Lynch,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,6,n/a,n/a,n/a,N,n/a,n/a,http://www.millroadcapital.com/,See Skullcandy,n/a,n/a,n/a,https://www.thestreet.com/markets/mergers-and-acquisitions/mill-road-capital-victorious-in-skullcandy-bidding-war-13684595
Millard Lumber,Y,NE,255,1947,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),n/a,n/a,n/a,Y,"n/a,",n/a,$80.8,2018,N,n/a,n/a,https://www.millardlumber.com/,https://435bd23a-f4be-41cf-aa06-68751a4fd6ce.usrfiles.com/ugd/435bd2_32bc2006882b43af919b81b575a9de79.pdf,n/a,https://www.nationalcia.org/statistical-reports,PrivCo (www.privco.com),n/a
Millcraft Paper,Y,OH,270,1920,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",n/a,$260.0,2018,N,n/a,n/a,http://www.millcraft.com/,OH DRC Spending,n/a,See corrections source,PrivCo (www.privco.com),n/a
Millennium Access Control Technology,Y,NY,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://millenniumpacs.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,n/a,n/a,n/a
Millennium Management,Y,NY,,1989,n/a,n/a,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,12,Y,,,N,n/a,n/a,https://www.mlp.com/home/,https://www.aft.org/sites/default/files/invest-risks-prisons-detention-2018.pdf,n/a,n/a,n/a,n/a
Miller Uniforms & Emblems,Y,TX,,1984,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.milleruniforms.com/,TDCJ Spending,n/a,n/a,n/a,n/a
Millicorp,Y,FL,,2008,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.millicorp.com/,http://www.millicorp.com/conscallhome/,n/a,n/a,n/a,n/a
Milliken & Company,Y,SC,"9,140",1865,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",n/a,$530.0,2018,N,n/a,n/a,http://www.milliken.com/,https://www.nationalcia.org/corporate-members,n/a,See corrections source,PrivCo (www.privco.com),n/a
Mills & McKinnon Contractors,Y,FL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.millsandmckinnoncontractors.com/,FL DOC Spending,n/a,n/a,n/a,n/a
Mimco,Y,TX,,1972,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.mimcoInc.com/,TDCJ Spending,n/a,n/a,n/a,n/a
Mindcubed,Y,VA,,2009,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://mindcubed.com/,http://www.ijis.org/?page=Member_List,n/a,n/a,n/a,n/a
Mine & Mill Supply Company,Y,FL,35,1909,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",n/a,$13.0,2018,N,n/a,n/a,http://www.minemill.com/,FL DOC Spending,n/a,n/a,PrivCo (www.privco.com),n/a
MINNCOR Industries,Y,MN,,1994,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),n/a,n/a,n/a,Y,"n/a,",n/a,,,Y,n/a,n/a,http://www.minncor.com/,See website,n/a,See corrections source,n/a,n/a
